;COEF;MODEL;TRAIN;TEST;ERRORS
0;Root mean squared error;SimpleRNN;0.009589543495527882;0.010168770152766526;0.009589543495527882
1;Mean absolute error;SimpleRNN;0.007008630105023969;0.008702317266487057;0.007008630105023969
2;Mean squared logarithmic error;SimpleRNN;8.519590850650593e-05;9.709914623997865e-05;8.519590850650593e-05
3;Root mean squared error;LSTM;0.01003033198714232;0.009782998315164243;0.01003033198714232
4;Mean absolute error;LSTM;0.007312779596339193;0.00822561688083147;0.007312779596339193
5;Mean squared logarithmic error;LSTM;9.319157306329043e-05;8.985832384087556e-05;9.319157306329043e-05
6;Root mean squared error;GRU;0.009870677212432656;0.009926929657984569;0.009870677212432656
7;Mean absolute error;GRU;0.007126533849689458;0.008386904464556196;0.007126533849689458
8;Mean squared logarithmic error;GRU;9.025176043183565e-05;9.250090364270066e-05;9.025176043183565e-05
